,DateTime,Close
0,2020-12-21 22:15:00,1.22372
1,2020-12-21 23:00:00,1.22349
2,2020-12-22 00:00:00,1.22309
3,2020-12-22 01:00:00,1.22313
4,2020-12-22 02:00:00,1.22324
5,2020-12-22 03:00:00,1.22291
6,2020-12-22 04:00:00,1.2223
7,2020-12-22 05:00:00,1.22185
8,2020-12-22 06:00:00,1.22171
9,2020-12-22 07:00:00,1.22169
10,2020-12-22 08:00:00,1.22218
11,2020-12-22 09:00:00,1.22072
12,2020-12-22 10:00:00,1.223
13,2020-12-22 11:00:00,1.22437
14,2020-12-22 12:00:00,1.22395
15,2020-12-22 13:00:00,1.22302
16,2020-12-22 14:00:00,1.22072
17,2020-12-22 15:00:00,1.21737
18,2020-12-22 16:00:00,1.21721
19,2020-12-22 17:00:00,1.21746
20,2020-12-22 18:00:00,1.2163
21,2020-12-22 19:00:00,1.21607
22,2020-12-22 20:00:00,1.2157
23,2020-12-22 21:00:00,1.21623
24,2020-12-22 22:15:00,1.2164
25,2020-12-22 23:00:00,1.21873
26,2020-12-23 00:00:00,1.21632
27,2020-12-23 01:00:00,1.21773
28,2020-12-23 02:00:00,1.21758
29,2020-12-23 03:00:00,1.219
30,2020-12-23 04:00:00,1.21879
31,2020-12-23 05:00:00,1.2189
32,2020-12-23 06:00:00,1.21841
33,2020-12-23 07:00:00,1.21972
34,2020-12-23 08:00:00,1.21829
